weight[-25, -22, -4, 18, 4, -13, 17, 36, 0, 19, 47, -1, -22, -39, 42, 38, 47, -19, 4, -26, -10, -35, 28, 47, 11]
population size 200 target 40
mutation chance: 0.1selection percent 0.5
constraints [-50, 50]
STT,SELECTION METHOD,CROSSOVER METHOD,MUTATION METHOD,AVERAGE GENERATION, AVERAGE EXECUTION TIME 
20,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,117,3.301
21,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,13,0.469
22,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,25,0.814
23,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,2,0.085
24,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,9,0.414
25,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,74,2.311
26,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,270,7.291
27,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,82,2.973
28,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,28,1.21
29,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,35,1.229
30,PROPORTINAL,ONE POINT CROSS,INORDER MUTATION,193,6.959
31,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,115,35.047
32,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,69,21.758
33,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,24,6.157
34,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,22,5.471
35,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,119,32.695
36,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,46,14.692
37,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,53,13.702
38,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,49,12.55
39,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,66,16.924
40,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,202,49.945
41,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,14,3.462
42,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,75,26.198
43,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,36,10.665
44,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,11,2.899
45,PROPORTINAL,TWO POINT CROSS,UNIFROM RANDOM MUTATION,26,6.878
46,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,33,9.956
47,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,131,36.648
48,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,65,17.517
49,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,4,1.469
50,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,58,19.664
51,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,107,32.112
52,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,53,14.92
53,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,30,8.758
54,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,11,3.188
55,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,58,18.024
56,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,67,19.513
57,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,29,10.837
58,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,6,1.984
59,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,76,28.053
60,PROPORTINAL,TWO POINT CROSS,INORDER MUTATION,27,8.208
61,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,202,24.437
62,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,41,4.424
63,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,171,18.193
64,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,19,1.981
65,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,78,8.301
66,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,18,1.93
67,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,8,0.855
68,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,48,5.222
69,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,65,7.131
70,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,3,0.338
71,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,293,31.14
72,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,72,7.63
73,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,62,6.703
74,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,2,0.216
75,PROPORTINAL,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,0,0.001
76,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,56,6.177
77,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,30,3.087
78,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,109,12.638
79,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,196,22.007
80,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,17,1.717
81,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,53,5.425
82,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,46,5.053
83,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,68,6.959
84,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,198,21.221
85,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,157,15.937
86,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,19,1.97
87,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,32,3.298
88,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,67,7.037
89,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,422,47.181
90,PROPORTINAL,UNIFORM RANDOM CROSS,INORDER MUTATION,163,16.776
91,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,26,0.607
92,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,141,3.156
93,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,20,0.431
94,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,41,0.943
95,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,2,0.05
96,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,17,0.369
97,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,12,0.267
98,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,5,0.118
99,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,135,2.925
100,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,15,0.329
101,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,15,0.326
102,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,64,1.395
103,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,16,0.359
104,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,12,0.261
105,RANK BASED,ONE POINT CROSS,UNIFROM RANDOM MUTATION,10,0.229
106,RANK BASED,ONE POINT CROSS,INORDER MUTATION,2,0.053
107,RANK BASED,ONE POINT CROSS,INORDER MUTATION,21,0.467
108,RANK BASED,ONE POINT CROSS,INORDER MUTATION,102,2.233
109,RANK BASED,ONE POINT CROSS,INORDER MUTATION,23,0.518
110,RANK BASED,ONE POINT CROSS,INORDER MUTATION,14,0.304
111,RANK BASED,ONE POINT CROSS,INORDER MUTATION,48,1.098
112,RANK BASED,ONE POINT CROSS,INORDER MUTATION,107,2.464
113,RANK BASED,ONE POINT CROSS,INORDER MUTATION,76,1.653
114,RANK BASED,ONE POINT CROSS,INORDER MUTATION,40,0.906
115,RANK BASED,ONE POINT CROSS,INORDER MUTATION,22,0.493
116,RANK BASED,ONE POINT CROSS,INORDER MUTATION,16,0.346
117,RANK BASED,ONE POINT CROSS,INORDER MUTATION,66,1.443
118,RANK BASED,ONE POINT CROSS,INORDER MUTATION,21,0.467
119,RANK BASED,ONE POINT CROSS,INORDER MUTATION,129,2.877
120,RANK BASED,ONE POINT CROSS,INORDER MUTATION,305,7.226
121,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,7,1.877
122,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,1,0.263
123,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,36,9.433
124,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,0,0.001
125,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,16,4.09
126,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,21,5.217
127,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,52,13.349
128,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,51,13.509
129,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,40,11.54
130,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,3,0.923
131,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,10,2.948
132,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,7,2.014
133,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,7,2.039
134,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,52,13.536
135,RANK BASED,TWO POINT CROSS,UNIFROM RANDOM MUTATION,36,9.596
136,RANK BASED,TWO POINT CROSS,INORDER MUTATION,64,17.112
137,RANK BASED,TWO POINT CROSS,INORDER MUTATION,157,41.685
138,RANK BASED,TWO POINT CROSS,INORDER MUTATION,24,6.554
139,RANK BASED,TWO POINT CROSS,INORDER MUTATION,56,14.771
140,RANK BASED,TWO POINT CROSS,INORDER MUTATION,53,14.063
141,RANK BASED,TWO POINT CROSS,INORDER MUTATION,74,18.982
142,RANK BASED,TWO POINT CROSS,INORDER MUTATION,2,0.562
143,RANK BASED,TWO POINT CROSS,INORDER MUTATION,51,16.157
144,RANK BASED,TWO POINT CROSS,INORDER MUTATION,8,2.583
145,RANK BASED,TWO POINT CROSS,INORDER MUTATION,25,6.52
146,RANK BASED,TWO POINT CROSS,INORDER MUTATION,8,2.024
147,RANK BASED,TWO POINT CROSS,INORDER MUTATION,167,42.962
148,RANK BASED,TWO POINT CROSS,INORDER MUTATION,131,33.29
149,RANK BASED,TWO POINT CROSS,INORDER MUTATION,89,22.624
150,RANK BASED,TWO POINT CROSS,INORDER MUTATION,22,5.705
151,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,59,6.045
152,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,70,7.502
153,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,187,18.671
154,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,28,2.807
155,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,14,1.396
156,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,42,4.188
