,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
90,-16704.14762842798,-14742.075358001553,-13954.673927850425,-14587.23296281191
91,-16663.427045059474,-14742.075358001553,-13954.673927850425,-14587.23296281191
92,-16665.440459376186,-14742.075358001553,-13954.673927850425,-14821.6551923202
93,-16679.403060520268,-14742.075358001553,-14902.353971354763,-14779.968120079368
94,-16679.403060520268,-14742.075358001553,-14902.353971354763,-14779.968120079368
95,-16679.403060520268,-14742.075358001553,-14902.353971354763,-14590.569141403841
96,-16707.0085904688,-14742.075358001553,-14902.353971354763,-14590.569141403841
97,-16707.0085904688,-14742.075358001553,-14902.353971354763,-14590.569141403841
98,-16707.0085904688,-14742.075358001553,-14902.353971354763,-14652.160985281034
99,-16707.0085904688,-14742.07535800155,-14902.353971354763,-14652.160985281034
100,-16709.8693770956,-14742.07535800155,-14902.353971354763,-14845.442347220127
101,-16709.93290934518,-14742.075358001553,-14902.353971354763,-14845.442347220127
102,-16796.96295600307,-14742.075358001553,-14902.353971354763,-14845.442347220127
103,-16796.96295600307,-14742.075358001553,-14902.353971354763,-14845.442347220127
104,-16796.96295600307,-14742.07535800155,-14902.353971354763,-14845.442347220127
105,-16796.96295600307,-14742.07535800155,-14902.353971354763,-14845.442347220125
106,-16796.96295600307,-14508.757765683034,-14902.353971354763,-14715.488797459646
107,-16796.96295600307,-14453.305055744766,-14902.353971354763,-14715.488797459646
108,-16796.96295600307,-14453.305055744766,-14902.353971354763,-14715.488797459646
109,-16796.96295600307,-14673.732813531184,-14902.353971354763,-14715.488797459646
110,-17063.027479240318,-14742.075358001548,-14902.353971354763,-14715.488797459646
111,-17063.027479240318,-14528.367534509329,-14902.353971354763,-14777.080641336843
112,-17063.027479240318,-14528.367534509329,-14902.353971354763,-14777.080641336843
113,-17063.027479240318,-14340.609680096008,-14902.353971354763,-14777.080641336843
114,-17088.229637174874,-14495.256876444297,-14902.353971354763,-14777.080641336843
115,-17088.229637174874,-14495.256876444297,-14902.353971354763,-15158.109198402595
116,-17088.229637174874,-14340.609680096008,-14902.353971354763,-14777.080641336843
117,-17088.229637174874,-14340.609680096008,-14902.353971354763,-15311.88179895108
118,-17095.448456484544,-14340.609680096006,-14902.353971354763,-15311.88179895108
119,-17095.448456484544,-14340.609680096006,-14902.353971354763,-15311.88179895108
120,-17341.86987479922,-14340.609680096006,-14908.229181706522,-15311.88179895108
121,-17341.86987479922,-14340.609680096004,-14902.353971354763,-15311.88179895108
122,-17350.37431353694,-14340.609680096004,-14902.353971354763,-15311.88179895108
123,-17341.86987479922,-13758.138943852256,-14902.353971354763,-14771.77790735874
124,-17346.332089461383,-13758.138943852256,-14902.353971354763,-14771.777907358735
125,-17346.332089461383,-13758.138943852256,-14902.353971354763,-14715.488797459648
126,-17366.558818719983,-13758.138943852258,-14902.353971354763,-14715.488797459646
127,-17346.332089461383,-13758.138943852256,-14902.353971354763,-14715.488797459646
